unit_id,district
BOONE-:-FLORA 1-(CONG-11),2
BOONE-:-FLORA 1-(CONG-16),2
BUREAU-:-ARISPIE-(CONG-14),4
BUREAU-:-ARISPIE-(CONG-16),4
BUREAU-:-PRINCETON 6-(CONG-14),4
BUREAU-:-PRINCETON 6-(CONG-16),14
BUREAU-:-SELBY 2-(CONG-14),14
BUREAU-:-SELBY 2-(CONG-16),4
CHAMPAIGN-:-HENSLEY-(CONG-13),10
CHAMPAIGN-:-HENSLEY-(CONG-15),10
CHAMPAIGN-:-RANTOUL 4-(CONG-02),10
CHAMPAIGN-:-RANTOUL 4-(CONG-15),10
CHAMPAIGN-:-SOMER-(CONG-13),10
CHAMPAIGN-:-SOMER-(CONG-15),10
CITY OF BLOOMINGTON-:-PRECINCT 10-(CONG-16),4
CITY OF BLOOMINGTON-:-PRECINCT 10-(CONG-17),4
CITY OF BLOOMINGTON-:-PRECINCT 15-(CONG-16),4
CITY OF BLOOMINGTON-:-PRECINCT 15-(CONG-17),4
CITY OF BLOOMINGTON-:-PRECINCT 17-(CONG-16),2
CITY OF BLOOMINGTON-:-PRECINCT 17-(CONG-17),2
CITY OF BLOOMINGTON-:-PRECINCT 2-(CONG-16),2
CITY OF BLOOMINGTON-:-PRECINCT 2-(CONG-17),2
CITY OF BLOOMINGTON-:-PRECINCT 52-(CONG-16),4
CITY OF BLOOMINGTON-:-PRECINCT 52-(CONG-17),4
CITY OF CHICAGO-:-WARD 01 PRECINCT 21-(CONG-05),1
CITY OF CHICAGO-:-WARD 01 PRECINCT 21-(CONG-07),1
CITY OF CHICAGO-:-WARD 02 PRECINCT 23-(CONG-05),1
CITY OF CHICAGO-:-WARD 02 PRECINCT 23-(CONG-07),1
CITY OF CHICAGO-:-WARD 03 PRECINCT 02-(CONG-01),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 02-(CONG-07),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 07-(CONG-01),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 07-(CONG-07),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 19-(CONG-01),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 19-(CONG-07),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 20-(CONG-01),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 20-(CONG-07),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 22-(CONG-01),12
CITY OF CHICAGO-:-WARD 03 PRECINCT 22-(CONG-07),12
CITY OF CHICAGO-:-WARD 04 PRECINCT 01-(CONG-01),12
CITY OF CHICAGO-:-WARD 04 PRECINCT 01-(CONG-02),12
CITY OF CHICAGO-:-WARD 04 PRECINCT 03-(CONG-01),12
CITY OF CHICAGO-:-WARD 04 PRECINCT 03-(CONG-02),12
CITY OF CHICAGO-:-WARD 04 PRECINCT 24-(CONG-01),12
CITY OF CHICAGO-:-WARD 04 PRECINCT 24-(CONG-07),12
CITY OF CHICAGO-:-WARD 05 PRECINCT 01-(CONG-01),12
CITY OF CHICAGO-:-WARD 05 PRECINCT 01-(CONG-02),12
CITY OF CHICAGO-:-WARD 05 PRECINCT 09-(CONG-01),12
CITY OF CHICAGO-:-WARD 05 PRECINCT 09-(CONG-02),12
CITY OF CHICAGO-:-WARD 05 PRECINCT 15-(CONG-01),12
CITY OF CHICAGO-:-WARD 05 PRECINCT 15-(CONG-02),12
CITY OF CHICAGO-:-WARD 07 PRECINCT 02-(CONG-01),12
CITY OF CHICAGO-:-WARD 07 PRECINCT 02-(CONG-02),12
