unit_id,district
BOONE-:-FLORA 1-(CONG-11),2
BOONE-:-FLORA 1-(CONG-16),2
BUREAU-:-ARISPIE-(CONG-14),10
BUREAU-:-ARISPIE-(CONG-16),10
BUREAU-:-PRINCETON 6-(CONG-14),10
BUREAU-:-PRINCETON 6-(CONG-16),10
BUREAU-:-SELBY 2-(CONG-14),4
BUREAU-:-SELBY 2-(CONG-16),10
CHAMPAIGN-:-HENSLEY-(CONG-13),5
CHAMPAIGN-:-HENSLEY-(CONG-15),5
CHAMPAIGN-:-RANTOUL 4-(CONG-02),5
CHAMPAIGN-:-RANTOUL 4-(CONG-15),5
CHAMPAIGN-:-SOMER-(CONG-13),5
CHAMPAIGN-:-SOMER-(CONG-15),5
CITY OF BLOOMINGTON-:-PRECINCT 10-(CONG-16),5
CITY OF BLOOMINGTON-:-PRECINCT 10-(CONG-17),5
CITY OF BLOOMINGTON-:-PRECINCT 15-(CONG-16),5
CITY OF BLOOMINGTON-:-PRECINCT 15-(CONG-17),5
CITY OF BLOOMINGTON-:-PRECINCT 17-(CONG-16),5
CITY OF BLOOMINGTON-:-PRECINCT 17-(CONG-17),5
CITY OF BLOOMINGTON-:-PRECINCT 2-(CONG-16),5
CITY OF BLOOMINGTON-:-PRECINCT 2-(CONG-17),5
CITY OF BLOOMINGTON-:-PRECINCT 52-(CONG-16),5
CITY OF BLOOMINGTON-:-PRECINCT 52-(CONG-17),5
CITY OF CHICAGO-:-WARD 01 PRECINCT 21-(CONG-05),8
CITY OF CHICAGO-:-WARD 01 PRECINCT 21-(CONG-07),8
CITY OF CHICAGO-:-WARD 02 PRECINCT 23-(CONG-05),6
CITY OF CHICAGO-:-WARD 02 PRECINCT 23-(CONG-07),6
CITY OF CHICAGO-:-WARD 03 PRECINCT 02-(CONG-01),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 02-(CONG-07),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 07-(CONG-01),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 07-(CONG-07),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 19-(CONG-01),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 19-(CONG-07),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 20-(CONG-01),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 20-(CONG-07),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 22-(CONG-01),15
CITY OF CHICAGO-:-WARD 03 PRECINCT 22-(CONG-07),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 01-(CONG-01),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 01-(CONG-02),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 03-(CONG-01),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 03-(CONG-02),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 24-(CONG-01),15
CITY OF CHICAGO-:-WARD 04 PRECINCT 24-(CONG-07),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 01-(CONG-01),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 01-(CONG-02),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 09-(CONG-01),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 09-(CONG-02),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 15-(CONG-01),15
CITY OF CHICAGO-:-WARD 05 PRECINCT 15-(CONG-02),15
CITY OF CHICAGO-:-WARD 07 PRECINCT 02-(CONG-01),15
CITY OF CHICAGO-:-WARD 07 PRECINCT 02-(CONG-02),15
